id,creation_time,modification_time,contents,image_urls,comment_id,post_id,user_id
115,2021-12-18 17:44:43.320668+09,2021-12-18 17:44:43.320668+09,세상 모든 사람들이 궁금하다!!!,,,61,a20bf234-d89b-4600-af33-98bf56df2e1b
120,2021-12-20 09:22:21.616029+09,2021-12-20 09:22:21.616029+09,야호,,,67,ee360834-955c-4011-88b1-a71e78ec7630
121,2021-12-20 09:47:00.20499+09,2021-12-20 09:47:00.20499+09,헉 지금까지 본 이름중에 최강,,,68,f8ae1eb1-27f2-4585-aed2-3500922840a2
122,2021-12-20 14:35:45.235797+09,2021-12-20 14:35:45.235797+09,엿 선물은 1년을 기다리셨나봐요ㅋㅋㅋ,,,67,f8ae1eb1-27f2-4585-aed2-3500922840a2
123,2021-12-20 17:19:54.895454+09,2021-12-20 17:19:54.895454+09,결국에 저건 누구 입으로..?,,,69,f8ae1eb1-27f2-4585-aed2-3500922840a2
124,2021-12-20 22:07:48.133999+09,2021-12-20 22:07:48.133999+09,원격 근무를 나가있는 알파카 대원이군요 중구의 공기는 어떤가요? ,,,70,ee360834-955c-4011-88b1-a71e78ec7630
127,2021-12-21 16:27:22.662153+09,2021-12-21 16:27:22.662153+09,토리님만 너무 신났는데요??,,,71,f8ae1eb1-27f2-4585-aed2-3500922840a2
128,2021-12-21 18:38:55.570252+09,2021-12-21 18:38:55.570252+09,👏🏻👏🏻👏🏻,,,70,a20bf234-d89b-4600-af33-98bf56df2e1b
130,2021-12-21 22:39:17.756163+09,2021-12-21 22:39:17.756163+09,"5.  문과생이 가끔은 개발자보다 나은점도 있다 (아마도) 
않이... 저의 소중한 애플와치가 카톡이 연동이 안되는거예요 🥺 아무리 해도 모르겠어서 컴공 출신 개발자에게 sos를 치기로 마음먹었읍니다 
말을 꺼내자마자 설정부터 들어가서 샥샥~ 보는 것이 '역시 it 개발자야..!' ღ˘‿˘ற꒱  하고 보고있었읍죠...

근데 이게 웬걸 ⁉️
개발자님이 멀쩡히 제 애플와치에 깔려있던 카톡마저 지워버렸읍니다.
문레기인 토리도 그러진 않았는데요.. 🤔하지만 끝내 포기하지않고 도전한 결과 연동에 성공했읍죠... 축하해주삼 ",,,73,ee360834-955c-4011-88b1-a71e78ec7630
131,2021-12-21 23:24:42.112178+09,2021-12-21 23:24:42.112178+09,👏🏻👏🏻👏🏻👏🏻👏🏻,,,72,a20bf234-d89b-4600-af33-98bf56df2e1b
132,2021-12-21 23:26:32.372552+09,2021-12-21 23:26:32.372552+09,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ또리짱,,,72,a20bf234-d89b-4600-af33-98bf56df2e1b
133,2021-12-21 23:27:06.673143+09,2021-12-21 23:27:06.673143+09,아옹 알비 귀여웡 나는 알비 호적 밑에 들어갈래,,,73,a20bf234-d89b-4600-af33-98bf56df2e1b
134,2021-12-21 23:28:13.319558+09,2021-12-21 23:28:13.319558+09,눈에 보이는 모든 것을 팔던 자금난 시절이 잇습죠 쩝ㅎ,,,73,a20bf234-d89b-4600-af33-98bf56df2e1b
137,2021-12-21 23:32:28.296665+09,2021-12-21 23:32:28.296665+09,요즘 인터넷 세상에서 사칭은 흔하죠~ 쬠 너그러이 마음을 풀어보심이 ~^^ 곧 새해니까요 ,,,74,ee360834-955c-4011-88b1-a71e78ec7630
86,2021-12-16 21:56:58.896506+09,2021-12-16 21:56:58.896506+09,🖕🖕🤷,,,54,
138,2021-12-21 23:59:46.418885+09,2021-12-21 23:59:46.418885+09,우리는 지치지 않는 알파카만의 속도를 찾아 달려보아요 ,,,76,ee360834-955c-4011-88b1-a71e78ec7630
139,2021-12-22 01:15:48.16509+09,2021-12-22 01:15:48.16509+09,보송보송 알비 후후 불면 날아가는 민들레는 아닐까? 넘 귀여워 엉엉 ,,,73,f8ae1eb1-27f2-4585-aed2-3500922840a2
140,2021-12-22 01:16:23.531428+09,2021-12-22 01:16:23.531428+09,와중에 엽서 예쁘네요📷,,,73,f8ae1eb1-27f2-4585-aed2-3500922840a2
141,2021-12-22 01:17:07.767295+09,2021-12-22 01:17:07.767295+09,알파카하면서 어머니 말투가 느셨네요,,137,74,f8ae1eb1-27f2-4585-aed2-3500922840a2
142,2021-12-22 01:18:33.272087+09,2021-12-22 01:18:33.272087+09,"뭐야 갑자기 감동적,,, 제가 좋아하는 구석(?)은 저 왼쪽 꼭지의 ""나름 전력질주중""입니다 ",,,76,f8ae1eb1-27f2-4585-aed2-3500922840a2
143,2021-12-22 10:14:13.674419+09,2021-12-22 10:14:13.674419+09,내향인이 살기 힘든 세상입니다,,142,76,ee360834-955c-4011-88b1-a71e78ec7630
144,2021-12-22 10:15:31.594341+09,2021-12-22 10:15:31.594341+09,이제는 짜잘한거 판매말고 알파카를 매각하는 그날까지 💥 알파카 100억에 사실분 괌  ,,134,73,ee360834-955c-4011-88b1-a71e78ec7630
145,2021-12-22 12:33:42.616097+09,2021-12-22 12:33:42.616097+09,뉘집 아들인지 잘생겼고먼~,,,77,ee360834-955c-4011-88b1-a71e78ec7630
146,2021-12-22 12:33:58.519866+09,2021-12-22 12:33:58.519866+09,또리 속눈썹 공구합니다 (1/10) ,,,77,ee360834-955c-4011-88b1-a71e78ec7630
147,2021-12-22 14:53:40.967502+09,2021-12-22 14:53:40.967502+09,어제도 똑같은 헤어스타일이었는뎁죠 제리씨,,,77,ee360834-955c-4011-88b1-a71e78ec7630
149,2021-12-22 15:03:59.623441+09,2021-12-22 15:03:59.623441+09,zzup,,147,77,a20bf234-d89b-4600-af33-98bf56df2e1b
150,2021-12-22 15:07:27.376314+09,2021-12-22 15:07:27.376314+09,사무실에서 돗자리를 피고 일광욕하는 사람이 있다~~~,,,75,a20bf234-d89b-4600-af33-98bf56df2e1b
151,2021-12-22 15:31:57.810994+09,2021-12-22 15:31:57.810994+09,저두 신청할래요 크리스마스의 행복을...plz..🎄,,,79,f8ae1eb1-27f2-4585-aed2-3500922840a2
152,2021-12-22 15:32:46.29322+09,2021-12-22 15:32:46.29322+09,이 공간에 무슨 일이 일어나고 있는것이죠..?,,,80,f8ae1eb1-27f2-4585-aed2-3500922840a2
154,2021-12-22 19:25:04.620114+09,2021-12-22 19:25:04.620114+09,유일한 신청자군요 쩝 ,,151,79,ee360834-955c-4011-88b1-a71e78ec7630
157,2021-12-22 21:11:55.215072+09,2021-12-22 21:11:55.215072+09,울지말고 얘기해봐.. 🥺,,156,82,ee360834-955c-4011-88b1-a71e78ec7630
158,2021-12-22 21:16:19.715413+09,2021-12-22 21:16:19.715413+09,안녕!,,,32,0c38d215-210c-4d0b-846b-36fe7d7f848c
159,2021-12-22 21:17:36.546101+09,2021-12-22 21:17:36.546101+09,저 파이썬에서 헬로 출력할 수 있어요. 저도 개발자 인터뷰 되나요? (쿠키 먹고싶어서 그러는거 맞음),,,81,0c38d215-210c-4d0b-846b-36fe7d7f848c
160,2021-12-22 21:23:58.404824+09,2021-12-22 21:23:58.404824+09,잠옷차림으로 마라 금지🚫 ,,,83,0c38d215-210c-4d0b-846b-36fe7d7f848c
161,2021-12-22 21:25:50.600426+09,2021-12-22 21:25:50.600426+09,대표자 제리는 즐거워 보입니다 ,,,80,ee360834-955c-4011-88b1-a71e78ec7630
162,2021-12-22 21:29:15.765856+09,2021-12-22 21:29:15.765856+09,새로운 횐님이 오셨군요~ 환영해요 ,,160,83,ee360834-955c-4011-88b1-a71e78ec7630
163,2021-12-22 21:30:58.832403+09,2021-12-22 21:30:58.832403+09,와! 헬로우 월드~! 그럼요 시작이 반이지요~ ^^ 그래도 알파카 근처에는 얼씬도 하지마셔용 ,,159,81,ee360834-955c-4011-88b1-a71e78ec7630
164,2021-12-22 21:31:53.024049+09,2021-12-22 21:31:53.024049+09,다만 개발자 또리 대신 카투사 복역을 해주시면 또리가 개발 1:1 과외를 해줄 수 있을 것 같네요~~~ 굿 아이디어 ^^ ,,159,81,ee360834-955c-4011-88b1-a71e78ec7630
165,2021-12-22 23:31:39.154818+09,2021-12-22 23:31:39.154818+09,이런 옷이 취향이셨나요?,,,83,f8ae1eb1-27f2-4585-aed2-3500922840a2
166,2021-12-22 23:32:06.644315+09,2021-12-22 23:32:06.644315+09,포인트는 여유로운 대표님,,,82,f8ae1eb1-27f2-4585-aed2-3500922840a2
168,2021-12-23 22:21:55.246005+09,2021-12-23 22:21:55.246005+09,드디어 노트북이 아닌 사람과 대화할 수 있어 신난 또리 ,,,85,ee360834-955c-4011-88b1-a71e78ec7630
169,2021-12-23 22:30:36.348057+09,2021-12-23 22:30:36.348057+09,토리의 50가지의 그림자를 발견해 보시죠..,,165,83,ee360834-955c-4011-88b1-a71e78ec7630
170,2021-12-23 22:30:58.117338+09,2021-12-23 22:30:58.117338+09,"넌 언제나 스윗,,, 🔫",,167,83,ee360834-955c-4011-88b1-a71e78ec7630
174,2021-12-24 02:06:10.789538+09,2021-12-24 02:06:10.789538+09,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 당신 이정도면 그냥 사고싶었던 거 아니야?,,,83,a20bf234-d89b-4600-af33-98bf56df2e1b
175,2021-12-24 02:06:50.82087+09,2021-12-24 02:06:50.82087+09,상아야 밥먹자!,,,84,a20bf234-d89b-4600-af33-98bf56df2e1b
176,2021-12-24 02:07:03.679263+09,2021-12-24 02:07:03.679263+09,ㅋㅋㅋㄱㅋㄱㅋㄱㅋㅋㄱㅋㄱㅋㄱㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋ,,,87,a20bf234-d89b-4600-af33-98bf56df2e1b
177,2021-12-24 02:08:20.694638+09,2021-12-24 02:08:20.694638+09,소보로파전이요?😮,,,89,a20bf234-d89b-4600-af33-98bf56df2e1b
178,2021-12-24 02:08:28.033963+09,2021-12-24 02:08:28.033963+09,맛나것다,,177,89,a20bf234-d89b-4600-af33-98bf56df2e1b
179,2021-12-25 00:06:10.030418+09,2021-12-25 00:06:10.030418+09,"토리의 savage한 모습,, ",,,90,f8ae1eb1-27f2-4585-aed2-3500922840a2
180,2021-12-25 00:06:52.380025+09,2021-12-25 00:06:52.380025+09,열심히 세라젬 설명중인 수리,,,91,f8ae1eb1-27f2-4585-aed2-3500922840a2
181,2021-12-25 00:08:01.425837+09,2021-12-25 00:08:01.425837+09,넘 어렵네요🥺,,,92,f8ae1eb1-27f2-4585-aed2-3500922840a2
182,2021-12-25 13:43:52.882985+09,2021-12-25 13:43:52.882985+09,어렵다어려워,,,92,a20bf234-d89b-4600-af33-98bf56df2e1b
183,2021-12-25 13:44:41.622492+09,2021-12-25 13:44:41.622492+09,석유젤리 훔쳐가세요ㅠ,,,91,a20bf234-d89b-4600-af33-98bf56df2e1b
186,2021-12-25 16:17:38.724845+09,2021-12-25 16:17:38.724845+09,진짜 석유라면 제가 훔쳐가고 싶어요 UAE 안 부럽습니다 ,,183,91,ee360834-955c-4011-88b1-a71e78ec7630
187,2021-12-25 19:37:42.893082+09,2021-12-25 19:37:42.893082+09,당신만큼 알파카 후드집업 잘 입고다니는 우수회원도 없을 무 🥺🥺🥺 알파카 플래티넘 우수회원 드립니다 ,,,93,ee360834-955c-4011-88b1-a71e78ec7630
189,2021-12-25 21:29:49.102443+09,2021-12-25 21:29:49.102443+09,ㅋㅋㅋㅋㅋ이쯤되면 또리하우스도 궁금해,,,94,f8ae1eb1-27f2-4585-aed2-3500922840a2
190,2021-12-27 01:34:39.028189+09,2021-12-27 01:34:39.028189+09,언제든 환영이에요 할수인🖤🖤🖤,,,93,a20bf234-d89b-4600-af33-98bf56df2e1b
191,2021-12-27 01:35:23.637256+09,2021-12-27 01:35:23.637256+09,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ선생님 군대에서 부동산 공부도 한번 해보심이 어떠신지,,,94,a20bf234-d89b-4600-af33-98bf56df2e1b
192,2021-12-27 01:36:14.633212+09,2021-12-27 01:36:14.633212+09,ㅋㅋㅋㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㄱㅋㅋㅋ,,,78,a20bf234-d89b-4600-af33-98bf56df2e1b
193,2021-12-28 10:15:13.229889+09,2021-12-28 10:15:13.229889+09,🍺🥂🍷🥃🍸🍹🧉🍾🧊,,,96,0c38d215-210c-4d0b-846b-36fe7d7f848c
194,2021-12-28 10:15:33.71283+09,2021-12-28 10:15:33.71283+09,"잠들기 전까지 취해있고 싶은 날이군요 @,@
",,,96,0c38d215-210c-4d0b-846b-36fe7d7f848c
195,2021-12-28 10:16:12.351695+09,2021-12-28 10:16:12.351695+09,설마가 사람을 잡는다! 그것도 아주 크게,,,95,0c38d215-210c-4d0b-846b-36fe7d7f848c
4,2021-11-30 19:10:31.477084+09,2021-11-30 19:10:31.477084+09,댓글 달리나요?,,,15,
8,2021-11-30 21:06:35.816231+09,2021-11-30 21:06:35.816231+09,댓글쓰기,,,14,
9,2021-11-30 21:06:43.839323+09,2021-11-30 21:06:43.839323+09,답글쓰기,,8,14,
10,2021-11-30 22:59:31.211119+09,2021-11-30 22:59:31.211119+09,댓글을 쓸 수 있어요😊😊,,,16,
11,2021-11-30 22:59:47.597732+09,2021-11-30 22:59:47.597732+09,어때유,,10,16,
12,2021-11-30 23:00:19.129663+09,2021-11-30 23:00:19.129663+09,자추도 가능하죠,,10,16,
13,2021-12-01 16:14:14.439858+09,2021-12-01 16:14:14.439858+09,ㅋㅋㅋㅋㅋㅋㅋ ,,,20,
18,2021-12-03 17:50:10.551029+09,2021-12-03 17:50:10.551029+09,맛있는 바나나 🍌 ,,,21,
19,2021-12-03 22:18:23.406464+09,2021-12-03 22:18:23.406464+09,콘센트 머에요 ㅋㅋㅋㅋㅋ,,,29,
20,2021-12-03 22:18:41.018561+09,2021-12-03 22:18:41.018561+09,좋아요 ㅎㅎㅎㅎㅎ,,,28,
21,2021-12-03 22:18:59.572326+09,2021-12-03 22:18:59.572326+09,약간 여기 알파카살롱 사내 커뮤니티 느낌..ㅋㅋㅋ,,,28,
25,2021-12-06 16:28:32.262534+09,2021-12-06 16:28:32.262534+09,댓글달기,,,29,
39,2021-12-08 19:13:29.204526+09,2021-12-08 19:13:29.204526+09,"댓글댓글

여러줄",,,33,
41,2021-12-09 17:06:57.755048+09,2021-12-09 17:06:57.755048+09,댓글인데,,,35,
42,2021-12-09 17:07:03.824219+09,2021-12-09 17:07:03.824219+09,답글을 쓰면?!,,41,35,
43,2021-12-09 17:39:50.304749+09,2021-12-09 17:39:50.304749+09,여러줄 댓글도 가능합니다~,,41,35,
44,2021-12-09 17:40:08.271873+09,2021-12-09 17:40:08.271873+09,아아,,,35,
59,2021-12-10 22:35:12.724995+09,2021-12-10 22:35:12.724995+09,"댓글 여러줄?
여러줄
하나
둘!",,,33,
65,2021-12-14 21:59:51.415634+09,2021-12-14 21:59:51.415634+09,힐끔~👀,,,46,
